C++ doc,url
tensorflow::ops::EncodeJpegVariableQuality,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/encode-jpeg-variable-quality.html
tensorflow::ops::EncodePng,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/encode-png.html
tensorflow::ops::ExtractGlimpse,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/extract-glimpse.html
tensorflow::ops::ExtractJpegShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/extract-jpeg-shape.html
tensorflow::ops::HSVToRGB,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/h-s-v-to-r-g-b.html
tensorflow::ops::NonMaxSuppression,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/non-max-suppression.html
tensorflow::ops::NonMaxSuppressionV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/non-max-suppression-v2.html
tensorflow::ops::NonMaxSuppressionV3,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/non-max-suppression-v3.html
tensorflow::ops::NonMaxSuppressionV4,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/non-max-suppression-v4.html
tensorflow::ops::NonMaxSuppressionV5,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/non-max-suppression-v5.html
tensorflow::ops::NonMaxSuppressionWithOverlaps,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/non-max-suppression-with-overlaps.html
tensorflow::ops::QuantizedResizeBilinear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantized-resize-bilinear.html
tensorflow::ops::RGBToHSV,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/r-g-b-to-h-s-v.html
tensorflow::ops::ResizeArea,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/resize-area.html
tensorflow::ops::ResizeBicubic,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/resize-bicubic.html
tensorflow::ops::ResizeBilinear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/resize-bilinear.html
tensorflow::ops::ResizeNearestNeighbor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/resize-nearest-neighbor.html
tensorflow::ops::SampleDistortedBoundingBox,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sample-distorted-bounding-box.html
tensorflow::ops::SampleDistortedBoundingBoxV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sample-distorted-bounding-box-v2.html
tensorflow::ops::ScaleAndTranslate,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/scale-and-translate.html
tensorflow::ops::FixedLengthRecordReader,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fixed-length-record-reader.html
tensorflow::ops::IdentityReader,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/identity-reader.html
tensorflow::ops::LMDBReader,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/l-m-d-b-reader.html
tensorflow::ops::MatchingFiles,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matching-files.html
tensorflow::ops::MergeV2Checkpoints,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/merge-v2-checkpoints.html
tensorflow::ops::ReadFile,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/read-file.html
tensorflow::ops::ReaderNumRecordsProduced,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/reader-num-records-produced.html
tensorflow::ops::ReaderNumWorkUnitsCompleted,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/reader-num-work-units-completed.html
tensorflow::ops::ReaderRead,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/reader-read.html
tensorflow::ops::ReaderReadUpTo,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/reader-read-up-to.html
tensorflow::ops::ReaderReset,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/reader-reset.html
tensorflow::ops::ReaderRestoreState,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/reader-restore-state.html
tensorflow::ops::ReaderSerializeState,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/reader-serialize-state.html
tensorflow::ops::Restore,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/restore.html
tensorflow::ops::RestoreSlice,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/restore-slice.html
tensorflow::ops::RestoreV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/restore-v2.html
tensorflow::ops::Save,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/save.html
tensorflow::ops::SaveSlices,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/save-slices.html
tensorflow::ops::SaveV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/save-v2.html
tensorflow::ops::ShardedFilename,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sharded-filename.html
tensorflow::ops::ShardedFilespec,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sharded-filespec.html
