PY_API,URL,ALIASES,CPP_API,CPP_URL
roll,https://www.tensorflow.org/api_docs/python/tf/roll,"['tf.compat.v1.manip.roll', 'tf.compat.v1.roll', 'tf.compat.v2.roll']",,
scan,https://www.tensorflow.org/api_docs/python/tf/scan,"['tf.compat.v1.scan', 'tf.compat.v2.scan']",,
scatter_nd,https://www.tensorflow.org/api_docs/python/tf/scatter_nd,"['tf.compat.v1.manip.scatter_nd', 'tf.compat.v1.scatter_nd', 'tf.compat.v2.scatter_nd']",,
searchsorted,https://www.tensorflow.org/api_docs/python/tf/searchsorted,"['tf.compat.v1.searchsorted', 'tf.compat.v2.searchsorted']",,
sequence_mask,https://www.tensorflow.org/api_docs/python/tf/sequence_mask,"['tf.compat.v1.sequence_mask', 'tf.compat.v2.sequence_mask']",,
shape,https://www.tensorflow.org/api_docs/python/tf/shape,['tf.compat.v2.shape'],,
shape_n,https://www.tensorflow.org/api_docs/python/tf/shape_n,"['tf.compat.v1.shape_n', 'tf.compat.v2.shape_n']",,
size,https://www.tensorflow.org/api_docs/python/tf/size,['tf.compat.v2.size'],,
slice,https://www.tensorflow.org/api_docs/python/tf/slice,"['tf.compat.v1.slice', 'tf.compat.v2.slice']",,
sort,https://www.tensorflow.org/api_docs/python/tf/sort,"['tf.compat.v1.sort', 'tf.compat.v2.sort']",,
space_to_batch,https://www.tensorflow.org/api_docs/python/tf/space_to_batch,"['tf.compat.v2.nn.space_to_batch', 'tf.compat.v2.space_to_batch']",,
space_to_batch_nd,https://www.tensorflow.org/api_docs/python/tf/space_to_batch_nd,"['tf.compat.v1.manip.space_to_batch_nd', 'tf.compat.v1.space_to_batch_nd', 'tf.compat.v2.space_to_batch_nd']",,
SparseTensorSpec,https://www.tensorflow.org/api_docs/python/tf/SparseTensorSpec,"['tf.compat.v1.SparseTensorSpec', 'tf.compat.v2.SparseTensorSpec']",,
split,https://www.tensorflow.org/api_docs/python/tf/split,"['tf.compat.v1.split', 'tf.compat.v2.split']",,
squeeze,https://www.tensorflow.org/api_docs/python/tf/squeeze,['tf.compat.v2.squeeze'],,
stack,https://www.tensorflow.org/api_docs/python/tf/stack,"['tf.compat.v1.stack', 'tf.compat.v2.stack']",tensorflow::ops::Stack,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stack.html
stop_gradient,https://www.tensorflow.org/api_docs/python/tf/stop_gradient,"['tf.compat.v1.stop_gradient', 'tf.compat.v2.stop_gradient']",,
strided_slice,https://www.tensorflow.org/api_docs/python/tf/strided_slice,"['tf.compat.v1.strided_slice', 'tf.compat.v2.strided_slice']",,
switch_case,https://www.tensorflow.org/api_docs/python/tf/switch_case,"['tf.compat.v1.switch_case', 'tf.compat.v2.switch_case']",,
Tensor,https://www.tensorflow.org/api_docs/python/tf/Tensor,"['tf.compat.v1.Tensor', 'tf.compat.v2.Tensor']",,
TensorArray,https://www.tensorflow.org/api_docs/python/tf/TensorArray,"['tf.compat.v1.TensorArray', 'tf.compat.v2.TensorArray']",tensorflow::ops::TensorArray,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array.html
TensorArraySpec,https://www.tensorflow.org/api_docs/python/tf/TensorArraySpec,"['tf.compat.v1.TensorArraySpec', 'tf.compat.v2.TensorArraySpec']",,
tensordot,https://www.tensorflow.org/api_docs/python/tf/tensordot,"['tf.compat.v1.linalg.tensordot', 'tf.compat.v1.tensordot', 'tf.compat.v2.linalg.tensordot', 'tf.compat.v2.tensordot']",,
TensorShape,https://www.tensorflow.org/api_docs/python/tf/TensorShape,"['tf.compat.v1.TensorShape', 'tf.compat.v2.TensorShape']",,
TensorSpec,https://www.tensorflow.org/api_docs/python/tf/TensorSpec,"['tf.compat.v1.TensorSpec', 'tf.compat.v2.TensorSpec']",,
tensor_scatter_nd_add,https://www.tensorflow.org/api_docs/python/tf/tensor_scatter_nd_add,"['tf.compat.v1.tensor_scatter_add', 'tf.compat.v1.tensor_scatter_nd_add', 'tf.compat.v2.tensor_scatter_nd_add']",,
tensor_scatter_nd_sub,https://www.tensorflow.org/api_docs/python/tf/tensor_scatter_nd_sub,"['tf.compat.v1.tensor_scatter_nd_sub', 'tf.compat.v1.tensor_scatter_sub', 'tf.compat.v2.tensor_scatter_nd_sub']",,
tensor_scatter_nd_update,https://www.tensorflow.org/api_docs/python/tf/tensor_scatter_nd_update,"['tf.compat.v1.tensor_scatter_nd_update', 'tf.compat.v1.tensor_scatter_update', 'tf.compat.v2.tensor_scatter_nd_update']",,
