IDX,API,URL,V1,NOTE,VALID_MAP
115,StatsAggregator,https://www.tensorflow.org/api_docs/python/tf/data/experimental/StatsAggregator,,,valid
116,assert_shapes,https://www.tensorflow.org/api_docs/python/tf/compat/v1/debugging/assert_shapes,Y,,
116,assert_shapes,https://www.tensorflow.org/api_docs/python/tf/debugging/assert_shapes,,,valid
117,MirroredStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/MirroredStrategy,Y,,
117,MirroredStrategy,https://www.tensorflow.org/api_docs/python/tf/distribute/MirroredStrategy,,,valid
118,OneDeviceStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/OneDeviceStrategy,Y,,
118,OneDeviceStrategy,https://www.tensorflow.org/api_docs/python/tf/distribute/OneDeviceStrategy,,,valid
119,Strategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/Strategy,Y,,
119,Strategy,https://www.tensorflow.org/api_docs/python/tf/distribute/Strategy,,,valid
120,StrategyExtended,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/StrategyExtended,Y,,
120,StrategyExtended,https://www.tensorflow.org/api_docs/python/tf/distribute/StrategyExtended,,,valid
121,CentralStorageStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental/CentralStorageStrategy,Y,,
121,CentralStorageStrategy,https://www.tensorflow.org/api_docs/python/tf/distribute/experimental/CentralStorageStrategy,,,valid
122,MultiWorkerMirroredStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental/MultiWorkerMirroredStrategy,Y,,
122,MultiWorkerMirroredStrategy,https://www.tensorflow.org/api_docs/python/tf/distribute/experimental/MultiWorkerMirroredStrategy,,,valid
123,ParameterServerStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental/ParameterServerStrategy,Y,,
123,ParameterServerStrategy,https://www.tensorflow.org/api_docs/python/tf/distribute/experimental/ParameterServerStrategy,,,valid
124,TPUStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental/TPUStrategy,Y,,
124,TPUStrategy,https://www.tensorflow.org/api_docs/python/tf/distribute/experimental/TPUStrategy,,,valid
125,BaselineClassifier,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/BaselineClassifier,Y,deprecated,
125,BaselineClassifier,https://www.tensorflow.org/api_docs/python/tf/estimator/BaselineClassifier,,,
126,BaselineEstimator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/BaselineEstimator,Y,deprecated,
126,BaselineEstimator,https://www.tensorflow.org/api_docs/python/tf/estimator/BaselineEstimator,,,
127,BaselineRegressor,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/BaselineRegressor,Y,deprecated,
127,BaselineRegressor,https://www.tensorflow.org/api_docs/python/tf/estimator/BaselineRegressor,,,
128,classifier_parse_example_spec,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/classifier_parse_example_spec,Y,,
128,classifier_parse_example_spec,https://www.tensorflow.org/api_docs/python/tf/estimator/classifier_parse_example_spec,,,valid
129,DNNClassifier,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/DNNClassifier,Y,deprecated,
129,DNNClassifier,https://www.tensorflow.org/api_docs/python/tf/estimator/DNNClassifier,,,
130,DNNEstimator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/DNNEstimator,Y,deprecated,
130,DNNEstimator,https://www.tensorflow.org/api_docs/python/tf/estimator/DNNEstimator,,,
131,DNNLinearCombinedClassifier,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/DNNLinearCombinedClassifier,Y,deprecated,
131,DNNLinearCombinedClassifier,https://www.tensorflow.org/api_docs/python/tf/estimator/DNNLinearCombinedClassifier,,,
132,DNNLinearCombinedEstimator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/DNNLinearCombinedEstimator,Y,deprecated,
132,DNNLinearCombinedEstimator,https://www.tensorflow.org/api_docs/python/tf/estimator/DNNLinearCombinedEstimator,,,
133,DNNLinearCombinedRegressor,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/DNNLinearCombinedRegressor,Y,deprecated,
133,DNNLinearCombinedRegressor,https://www.tensorflow.org/api_docs/python/tf/estimator/DNNLinearCombinedRegressor,,,
134,DNNRegressor,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/DNNRegressor,Y,deprecated,
134,DNNRegressor,https://www.tensorflow.org/api_docs/python/tf/estimator/DNNRegressor,,,
135,Estimator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/Estimator,Y,deprecated,
135,Estimator,https://www.tensorflow.org/api_docs/python/tf/estimator/Estimator,,,
136,LinearClassifier,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/LinearClassifier,Y,deprecated,
136,LinearClassifier,https://www.tensorflow.org/api_docs/python/tf/estimator/LinearClassifier,,,
137,LinearEstimator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/LinearEstimator,Y,deprecated,
137,LinearEstimator,https://www.tensorflow.org/api_docs/python/tf/estimator/LinearEstimator,,,
