,support,itemsets,length
252,0.07481351469942957,"frozenset({'optional', 'name'})",2
174,0.06899956121105748,"frozenset({'tensor', 'SOME_DTYPE'})",2
251,0.06384379113646337,"frozenset({'operation', 'name'})",2
258,0.06208863536638877,"frozenset({'optional', 'operation'})",2
312,0.06164984642387012,"frozenset({'optional', 'operation', 'name'})",3
268,0.0330188679245283,"frozenset({'tensor', 'shape'})",2
273,0.03268977621763931,"frozenset({'tensor', 'type'})",2
164,0.032141290039491004,"frozenset({'must', 'SOME_DTYPE'})",2
168,0.03203159280386134,"frozenset({'optional', 'SOME_DTYPE'})",2
153,0.03137340939008337,"frozenset({'SOME_STRUCTURE', 'SOME_DTYPE'})",2
211,0.031044317683194385,"frozenset({'tensor', 'd'})",2
167,0.030495831505046072,"frozenset({'one', 'SOME_DTYPE'})",2
176,0.030166739798157087,"frozenset({'type', 'SOME_DTYPE'})",2
243,0.027314611671785873,"frozenset({'must', 'one'})",2
160,0.02632733655111891,"frozenset({'following', 'SOME_DTYPE'})",2
286,0.026107942079859586,"frozenset({'one', 'following', 'SOME_DTYPE'})",3
233,0.026107942079859586,"frozenset({'one', 'following'})",2
232,0.025998244844229926,"frozenset({'must', 'following'})",2
285,0.0257788503729706,"frozenset({'must', 'following', 'SOME_DTYPE'})",3
287,0.0257788503729706,"frozenset({'must', 'one', 'SOME_DTYPE'})",3
309,0.0257788503729706,"frozenset({'must', 'one', 'following'})",3
319,0.0257788503729706,"frozenset({'must', 'one', 'following', 'SOME_DTYPE'})",4
