arg,API,url
data,mxnet.ndarray.op.Custom,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.Custom
args,mxnet.ndarray.op.ElementWiseSum,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.ElementWiseSum
data,mxnet.ndarray.op.UpSampling,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.UpSampling
args,mxnet.ndarray.op.add_n,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.add_n
data,mxnet.ndarray.op.amp_multicast,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.amp_multicast
data,mxnet.ndarray.op.concat,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.concat
args,mxnet.ndarray.op.khatri_rao,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.khatri_rao
data,mxnet.ndarray.op.multi_all_finite,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.multi_all_finite
data,mxnet.ndarray.op.multi_mp_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.multi_mp_sgd_mom_update
data,mxnet.ndarray.op.multi_mp_sgd_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.multi_mp_sgd_update
data,mxnet.ndarray.op.multi_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.multi_sgd_mom_update
data,mxnet.ndarray.op.multi_sgd_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.multi_sgd_update
data,mxnet.ndarray.op.multi_sum_sq,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.multi_sum_sq
data,mxnet.ndarray.op.preloaded_multi_mp_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.preloaded_multi_mp_sgd_mom_update
data,mxnet.ndarray.op.preloaded_multi_mp_sgd_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.preloaded_multi_mp_sgd_update
data,mxnet.ndarray.op.preloaded_multi_sgd_mom_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.preloaded_multi_sgd_mom_update
data,mxnet.ndarray.op.preloaded_multi_sgd_update,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.preloaded_multi_sgd_update
data,mxnet.ndarray.op.reset_arrays,https://mxnet.apache.org/versions/1.6/api/python/docs/api/ndarray/op/index.html#mxnet.ndarray.op.reset_arrays
